number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
0,0.0077264932883103574,0.018883622859003295,2026-03-12 15:29:48.470055,2026-03-12 15:29:49.385181,0 days 00:00:00.915126,4.228569930482258,0.5,48.40830545410283,50.656872099270345,4.362478392556494,5.35,4.360052100626563,3.281233629740653e-07,1e-16,1e-17,1e-07,-16.354444994345954,0,"{'d_sclc': 3.281233629740653e-07, 'W_L': 4.362478392556494, 'mu_e': -16.354444994345954, 'E_d_sh': 4.228569930482258, 'N_t_sh': 50.656872099270345, 'N_t_d': 48.40830545410283, 'W_R': 5.35, 'G_frac': 0.5, 'l1_k_dir': 1e-17, 'l1_C_n_bulk': 1e-16, 'l1_mu_p': 1e-07}",COMPLETE
1,0.04049942891429066,0.7568299314572233,2026-03-12 15:29:49.386177,2026-03-12 15:29:50.271835,0 days 00:00:00.885658,4.363024945331228,0.8713973860362116,48.76934593025604,54.477960994977614,4.409373418246406,5.351919986248981,4.384760731875246,1.1033971976452805e-07,1.2233527795262008e-15,6.630586124031881e-15,7.043093265759576e-07,-15.186055016757173,0,,COMPLETE
2,0.03252642504797581,0.3059701765763057,2026-03-12 15:29:50.272830,2026-03-12 15:29:51.117930,0 days 00:00:00.845100,4.336397905487847,0.6160747422517259,50.42882368308196,52.48438043793066,4.2010946458970535,5.392902526139961,4.38463229854087,1.9730562987454342e-07,3.5868285918093675e-17,7.648019728511568e-18,5.2762364552783856e-08,-15.040803153945141,0,,COMPLETE
3,0.048840374146552394,0.09133373754713878,2026-03-12 15:29:51.117930,2026-03-12 15:29:51.815120,0 days 00:00:00.697190,4.220620704599439,0.5163190425246921,46.240925722374335,53.18805421401161,4.202816660393726,5.134100329542739,4.257669527091222,2.1972505988725316e-07,2.8118027892091575e-16,2.486954667796461e-17,1.564672522453346e-07,-16.586732270443097,0,,COMPLETE
4,,,2026-03-12 15:29:51.815120,2026-03-12 15:29:51.855692,0 days 00:00:00.040572,4.44431369211744,0.7370709413501377,49.500911402276266,55.201552019634256,4.427509262340314,5.275931471333365,4.242033102728013,2.3197166395102816e-07,7.109630343350796e-18,3.728449440082724e-17,5.327493474074233e-08,-17.31530605183052,0,,PRUNED
5,0.09245265908757164,0.42828370907538627,2026-03-12 15:29:51.855692,2026-03-12 15:29:52.868329,0 days 00:00:01.012637,4.3990091827867825,0.8445189359793439,46.544942644035075,51.78986416864491,4.3798171520181794,5.171948711112801,4.485177745958739,2.3479985744771435e-07,5.240554426906335e-17,3.3081083314800527e-18,1.9581384931855415e-07,-18.074192919531523,0,,COMPLETE
6,0.06222685177494884,0.2962484477248938,2026-03-12 15:29:52.869327,2026-03-12 15:29:53.976602,0 days 00:00:01.107275,4.336118054161888,0.9388256852682206,48.73497437963019,53.619724558462934,4.238655136063972,5.269051483126754,4.4061240672013575,2.0906618872957695e-07,5.762526319531389e-16,1.1527852654874312e-16,8.718001444446442e-08,-18.394520104132084,0,,COMPLETE
7,0.0800520503246176,0.1443629051102499,2026-03-12 15:29:53.977598,2026-03-12 15:29:54.918134,0 days 00:00:00.940536,4.402098357735991,0.5634798014108116,49.222145565089605,52.33567634978842,4.457698139695772,5.314410294329583,4.3775023077661075,2.9856239960259926e-07,8.872295444896428e-18,1.2137816844084424e-18,2.140299757540763e-08,-15.373135986411459,0,,COMPLETE
8,,,2026-03-12 15:29:54.919130,2026-03-12 15:29:54.965376,0 days 00:00:00.046246,4.242550376097664,0.5026875675867445,50.297579650528334,52.49786155423595,4.250758933967651,5.259626615804322,4.202100552823912,3.9182135031063546e-07,2.0260612643185594e-17,1.2328219911201732e-15,2.156521142431074e-08,-16.57383227568734,0,,PRUNED
9,0.024519516629714588,0.37576678098793276,2026-03-12 15:29:54.966352,2026-03-12 15:29:55.770396,0 days 00:00:00.804044,4.445466143045502,0.6959233189440581,49.303693488603386,50.662977954309426,4.378944034006225,5.24814095450191,4.209840034756583,2.791758412584316e-07,5.052884609393477e-16,6.461842490344219e-16,4.222267658134326e-07,-15.071564339209763,0,,COMPLETE
