number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
0,0.048301645377009296,0.018883622859003295,2026-03-12 16:14:55.169841,2026-03-12 16:14:57.082618,0 days 00:00:01.912777,4.228569930482258,0.5,48.40830545410283,50.656872099270345,4.362478392556494,5.35,4.30232892752852,2e-07,1e-16,1e-17,1e-07,-16.354444994345954,0,"{'d_sclc': 2e-07, 'W_L': 4.362478392556494, 'mu_e': -16.354444994345954, 'E_d_sh': 4.228569930482258, 'N_t_sh': 50.656872099270345, 'N_t_d': 48.40830545410283, 'W_R': 5.35, 'G_frac': 0.5, 'l1_k_dir': 1e-17, 'l1_C_n_bulk': 1e-16, 'l1_mu_p': 1e-07}",COMPLETE
1,,,2026-03-12 16:14:57.083614,2026-03-12 16:14:57.139429,0 days 00:00:00.055815,4.429621961075,0.8454698936901486,48.11123990050245,52.57699684232536,4.272671217887017,5.159018468887667,4.489793727282391,1.9775664680933045e-07,3.8485758422778376e-16,8.199309165004798e-15,1.5723361382069144e-08,-17.86500242886101,0,,PRUNED
2,0.042289039998250184,0.4123827192781893,2026-03-12 16:14:57.139429,2026-03-12 16:14:57.944475,0 days 00:00:00.805046,4.371445872237486,0.8448333323969535,48.71758162374603,51.65835663998943,4.265431250750321,5.171488539307772,4.475528511906865,1.932423298274271e-07,8.187724611473806e-18,1.7449410820007103e-15,1.1049561055953835e-08,-14.568909096905934,0,,COMPLETE
3,0.044229107182300734,0.5866123539495616,2026-03-12 16:14:57.945460,2026-03-12 16:14:58.876708,0 days 00:00:00.931248,4.258396159273696,0.9625510893251703,50.22838190546308,51.27921733270143,4.290572544458427,5.222157283632339,4.236330783525322,2.1316964135973835e-07,2.0104184391978377e-16,5.3841476262076e-17,6.247105852695638e-08,-17.6681110920904,0,,COMPLETE
4,0.025217480365190333,0.2687754678490241,2026-03-12 16:14:58.877705,2026-03-12 16:14:59.684433,0 days 00:00:00.806728,4.4778475040290076,0.6310471544427672,50.01940394176415,50.671845049444414,4.2771908001693095,5.303327827925093,4.455063053694402,2.057184833764814e-07,2.054582025146577e-17,6.947818327663128e-18,7.765965362010221e-08,-13.884118684695022,0,,COMPLETE
5,,,2026-03-12 16:14:59.685429,2026-03-12 16:14:59.738252,0 days 00:00:00.052823,4.354915085737125,0.6853286905331875,50.573544285587005,52.14234196282354,4.438037865685853,5.284398121767157,4.315570480908004,1.9851311910004627e-07,4.754327324803461e-15,9.355153079152133e-17,5.86096646855177e-08,-16.183546265811223,0,,PRUNED
6,,,2026-03-12 16:14:59.739249,2026-03-12 16:14:59.786248,0 days 00:00:00.046999,4.289374017977659,0.8118153786368767,46.29226231339353,51.18024812303155,4.237424673032148,5.122661847402631,4.256820562555203,1.9068339023289213e-07,3.3273826230379927e-16,2.6041789124837433e-18,4.989859749689744e-07,-13.851967384118218,0,,PRUNED
7,,,2026-03-12 16:14:59.787241,2026-03-12 16:14:59.851026,0 days 00:00:00.063785,4.465951375691698,0.5193262515324135,48.12965956330687,52.21745686125628,4.391688314634886,5.3865686340539725,4.340862834604949,1.9133690976581993e-07,8.588730339383623e-16,1.3526210757029538e-17,1.1087774490703472e-07,-18.031425030754452,0,,PRUNED
8,0.04079331186935445,0.37208476072128965,2026-03-12 16:14:59.852022,2026-03-12 16:15:01.001726,0 days 00:00:01.149704,4.337077250936871,0.7398330147839668,47.156195205960444,55.118767000538206,4.32862610730016,5.1762475771856735,4.400189697336023,1.8716285163002084e-07,1.0698719793567643e-16,3.847636616626688e-15,7.745091510787422e-08,-16.992915843889964,0,,COMPLETE
9,0.005115544524274066,0.31306813456396104,2026-03-12 16:15:01.001726,2026-03-12 16:15:02.048242,0 days 00:00:01.046516,4.39593168874628,0.7645193289845125,47.49898191939333,52.42197773727037,4.423075030557694,5.203112577281436,4.217759992830597,2.1134899382069925e-07,4.8456107309358685e-17,3.8743703523120767e-16,1.1213893826236842e-08,-15.785026195843301,0,,COMPLETE
