# V, J(A/m2)
2.000000000000000389e-02,5.374076366424560547e-01
2.100301913217995919e-02,5.657057762145996094e-01
2.205634063333586706e-02,5.926589965820312500e-01
2.316248721539157160e-02,6.257016658782958984e-01
2.432410810668713882e-02,6.557210087776184082e-01
2.554398539689817921e-02,6.897227168083190918e-01
2.682504070015889405e-02,7.271457314491271973e-01
2.817034215234716366e-02,7.639574408531188965e-01
2.958311175929013298e-02,7.993525266647338867e-01
3.106673311348942534e-02,8.397363424301147461e-01
3.262475949784734985e-02,8.800713419914245605e-01
3.426092239580288273e-02,9.313685894012451172e-01
3.597914042825903214e-02,9.784479737281799316e-01
3.778352873870569062e-02,1.030292153358459473e+00
3.967840884901534249e-02,1.079831719398498535e+00
4.166831900951638995e-02,1.135727643966674805e+00
4.375802506813252640e-02,1.192336440086364746e+00
4.595253188461987520e-02,1.255959153175354004e+00
4.825709531723901269e-02,1.321395516395568848e+00
5.067723481057014034e-02,1.394285559654235840e+00
5.321874661461903355e-02,1.465854883193969727e+00
5.588771766687404552e-02,1.544308066368103027e+00
5.869054017056136996e-02,1.626705884933471680e+00
6.163392690401383461e-02,1.715537190437316895e+00
6.472492729781917364e-02,1.808318972587585449e+00
6.797094431825263794e-02,1.901663064956665039e+00
7.137975219742993815e-02,2.004882097244262695e+00
7.495951505264426828e-02,2.125435829162597656e+00
7.871880643948095391e-02,2.243717432022094727e+00
8.266662988553945268e-02,2.378995418548583984e+00
8.681244045394122255e-02,2.509170770645141602e+00
9.116616738826804900e-02,2.656184196472167969e+00
9.573823789316571187e-02,2.806629657745361328e+00
1.005396021075677521e-01,2.976521730422973633e+00
1.055817593303502860e-01,3.142658472061157227e+00
1.108767855612283332e-01,3.350138187408447266e+00
1.164373624228546150e-01,3.550037622451782227e+00
1.222768075333893617e-01,3.780386686325073242e+00
1.284091064022831463e-01,4.013278007507324219e+00
1.348489459256642375e-01,4.280619621276855469e+00
1.416117495615513144e-01,4.520183086395263672e+00
1.487137142691369318e-01,4.835234642028808594e+00
1.561718493006112873e-01,5.101933479309082031e+00
1.640040169384331947e-01,5.479362964630126953e+00
1.722289752756138992e-01,5.797236919403076172e+00
1.808664231414733592e-01,6.231021881103515625e+00
1.899370472804660370e-01,6.635443210601806641e+00
1.994625718970698680e-01,7.166118621826171875e+00
2.094658106853988788e-01,7.610040664672851562e+00
2.199707214681508594e-01,8.160038948059082031e+00
2.310024635757500500e-01,8.749818801879882812e+00
2.425874581031090826e-01,9.393938064575195312e+00
2.547534511883252084e-01,1.011927127838134766e+01
2.675295804648633036e-01,1.089298248291015625e+01
2.809464448463800945e-01,1.169571685791015625e+01
2.950361778113230748e-01,1.260906791687011719e+01
3.098325243628233250e-01,1.349683380126953125e+01
3.253709218481995458e-01,1.458306598663330078e+01
3.416885848316380536e-01,1.576763343811035156e+01
3.588245942233194152e-01,1.708941078186035156e+01
3.768199908784543584e-01,1.840380668640136719e+01
3.957178738904026383e-01,1.993641471862792969e+01
4.155635038132851067e-01,2.150786018371582031e+01
4.364044110613082839e-01,2.329305458068847656e+01
4.582905097444192055e-01,2.561034202575683594e+01
4.812742172129270690e-01,2.776261711120605469e+01
5.054105795974019877e-01,3.003108787536621094e+01
5.307574036445197319e-01,3.268784332275390625e+01
5.573753951646003291e-01,3.569587326049804688e+01
5.853283044224232290e-01,3.858959579467773438e+01
6.146830788195304374e-01,4.205335998535156250e+01
6.455100232336936639e-01,4.577534866333007812e+01
6.778829683995597488e-01,4.988685607910156250e+01
7.118794477337446747e-01,5.460085678100585938e+01
7.475808830278770634e-01,5.919963836669921875e+01
7.850727794543244098e-01,6.473989868164062500e+01
8.244449303516435679e-01,7.062211608886718750e+01
8.657916322802170495e-01,7.724948883056640625e+01
9.092119108631356861e-01,8.423841094970703125e+01
9.548097579532167645e-01,9.194606018066406250e+01
1.002694380694176379e+00,9.724877166748046875e+01
1.052980463072455963e+00,1.068480453491210938e+02
1.105788440586125132e+00,1.172426834106445312e+02
1.161244788688691187e+00,1.287175292968750000e+02
1.219482325698642011e+00,1.402847290039062500e+02
1.280640530900194252e+00,1.545674133300781250e+02
1.344865878597093944e+00,1.692334289550781250e+02
1.412312188919538469e+00,1.852846374511718750e+02
1.483140996224401098e+00,2.032254028320312500e+02
1.557521935971076799e+00,2.244494476318359375e+02
1.635633150999524554e+00,2.449417419433593750e+02
1.717661718183540076e+00,2.695834655761718750e+02
1.803804096481099517e+00,2.975963134765625000e+02
1.894266597454855594e+00,3.270283203125000000e+02
1.989265879389688019e+00,3.597311401367187500e+02
2.089029466190718942e+00,3.962412414550781250e+02
2.193796292304567519e+00,4.244638977050781250e+02
2.303817274968914308e+00,4.641772155761718750e+02
2.419355915160939841e+00,5.115531616210937500e+02
2.540688928683898506e+00,5.585510253906250000e+02
2.668106908903285834e+00,6.206403808593750000e+02
2.801915022719862147e+00,6.784376831054687500e+02
2.942433741446385032e+00,7.479657592773437500e+02
2.000000000000000389e-02,5.399144887924194336e-01
2.100301913217995919e-02,5.668863058090209961e-01
2.205634063333586706e-02,5.960997343063354492e-01
2.316248721539157160e-02,6.262580752372741699e-01
2.432410810668713882e-02,6.560261845588684082e-01
2.554398539689817921e-02,6.902517080307006836e-01
2.682504070015889405e-02,7.228299975395202637e-01
2.817034215234716366e-02,7.590380311012268066e-01
2.958311175929013298e-02,8.065674901008605957e-01
3.106673311348942534e-02,8.429232835769653320e-01
3.262475949784734985e-02,8.866558074951171875e-01
3.426092239580288273e-02,9.311962127685546875e-01
3.597914042825903214e-02,9.802730083465576172e-01
3.778352873870569062e-02,1.028876304626464844e+00
3.967840884901534249e-02,1.082429885864257812e+00
4.166831900951638995e-02,1.135721206665039062e+00
4.375802506813252640e-02,1.200549364089965820e+00
4.595253188461987520e-02,1.264762401580810547e+00
4.825709531723901269e-02,1.334159493446350098e+00
5.067723481057014034e-02,1.409744739532470703e+00
5.321874661461903355e-02,1.479932308197021484e+00
5.588771766687404552e-02,1.559516549110412598e+00
5.869054017056136996e-02,1.642613053321838379e+00
6.163392690401383461e-02,1.733357667922973633e+00
6.472492729781917364e-02,1.836400032043457031e+00
6.797094431825263794e-02,1.943405866622924805e+00
7.137975219742993815e-02,2.044167518615722656e+00
7.495951505264426828e-02,2.164258003234863281e+00
7.871880643948095391e-02,2.267902374267578125e+00
8.266662988553945268e-02,2.407777309417724609e+00
8.681244045394122255e-02,2.542794942855834961e+00
9.116616738826804900e-02,2.697200059890747070e+00
9.573823789316571187e-02,2.861505031585693359e+00
1.005396021075677521e-01,3.043808460235595703e+00
1.055817593303502860e-01,3.214271068572998047e+00
1.108767855612283332e-01,3.418716430664062500e+00
1.164373624228546150e-01,3.609046220779418945e+00
1.222768075333893617e-01,3.843018770217895508e+00
1.284091064022831463e-01,4.071380615234375000e+00
1.348489459256642375e-01,4.336384773254394531e+00
1.416117495615513144e-01,4.569245815277099609e+00
1.487137142691369318e-01,4.871271133422851562e+00
1.561718493006112873e-01,5.191626548767089844e+00
1.640040169384331947e-01,5.573787689208984375e+00
1.722289752756138992e-01,5.900503635406494141e+00
1.808664231414733592e-01,6.327504158020019531e+00
1.899370472804660370e-01,6.757803916931152344e+00
1.994625718970698680e-01,7.273860931396484375e+00
2.094658106853988788e-01,7.806691169738769531e+00
2.199707214681508594e-01,8.402766227722167969e+00
2.310024635757500500e-01,9.035630226135253906e+00
2.425874581031090826e-01,9.736769676208496094e+00
2.547534511883252084e-01,1.039605998992919922e+01
2.675295804648633036e-01,1.123627567291259766e+01
2.809464448463800945e-01,1.213087844848632812e+01
2.950361778113230748e-01,1.315516757965087891e+01
3.098325243628233250e-01,1.409441566467285156e+01
3.253709218481995458e-01,1.524487304687500000e+01
3.416885848316380536e-01,1.641975021362304688e+01
3.588245942233194152e-01,1.783856964111328125e+01
3.768199908784543584e-01,1.926074028015136719e+01
3.957178738904026383e-01,2.086741638183593750e+01
4.155635038132851067e-01,2.259858894348144531e+01
4.364044110613082839e-01,2.460354232788085938e+01
4.582905097444192055e-01,2.666774940490722656e+01
4.812742172129270690e-01,2.894579887390136719e+01
5.054105795974019877e-01,3.143979263305664062e+01
5.307574036445197319e-01,3.416553878784179688e+01
5.573753951646003291e-01,3.718394851684570312e+01
5.853283044224232290e-01,4.018580627441406250e+01
6.146830788195304374e-01,4.418390274047851562e+01
6.455100232336936639e-01,4.823391723632812500e+01
6.778829683995597488e-01,5.217488861083984375e+01
7.118794477337446747e-01,5.714823913574218750e+01
7.475808830278770634e-01,6.213756561279296875e+01
7.850727794543244098e-01,6.805459594726562500e+01
8.244449303516435679e-01,7.463180541992187500e+01
8.657916322802170495e-01,8.161599731445312500e+01
9.092119108631356861e-01,8.932138061523437500e+01
9.548097579532167645e-01,9.838742065429687500e+01
1.002694380694176379e+00,1.095766906738281250e+02
1.052980463072455963e+00,1.206861953735351562e+02
1.105788440586125132e+00,1.321666717529296875e+02
1.161244788688691187e+00,1.463897857666015625e+02
1.219482325698642011e+00,1.606986236572265625e+02
1.280640530900194252e+00,1.780169982910156250e+02
1.344865878597093944e+00,1.947062530517578125e+02
1.412312188919538469e+00,2.152059326171875000e+02
1.483140996224401098e+00,2.347857666015625000e+02
1.557521935971076799e+00,2.588922119140625000e+02
1.635633150999524554e+00,2.847597045898437500e+02
1.717661718183540076e+00,3.156791687011718750e+02
1.803804096481099517e+00,3.526307067871093750e+02
1.894266597454855594e+00,3.902499084472656250e+02
1.989265879389688019e+00,4.330421752929687500e+02
2.089029466190718942e+00,4.787619934082031250e+02
2.193796292304567519e+00,5.101938476562500000e+02
2.303817274968914308e+00,5.630198974609375000e+02
2.419355915160939841e+00,6.251824951171875000e+02
2.540688928683898506e+00,6.864924316406250000e+02
2.668106908903285834e+00,7.684187622070312500e+02
2.801915022719862147e+00,8.480640258789062500e+02
2.942433741446385032e+00,9.375009765625000000e+02
