number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
0,0.0015424295905973483,0.152625053242999,2026-03-19 21:57:55.317968,2026-03-19 21:58:00.133437,0 days 00:00:04.815469,4.228569930482258,0.57,48.40830545410283,50.656872099270345,4.362478392556494,5.4,4.200000043430672,3.28e-07,1e-18,2e-17,3e-07,-16.354444994345954,,"{'d_sclc': 3.28e-07, 'W_L': 4.362478392556494, 'W_R_sclc': 4.200000043430672, 'mu_e': -16.354444994345954, 'E_d_sh': 4.228569930482258, 'N_t_sh': 50.656872099270345, 'N_t_d': 48.40830545410283, 'W_R': 5.4, 'G_frac': 0.57, 'l1_k_dir': 2e-17, 'l1_C_n_bulk': 1e-18, 'l1_mu_p': 3e-07}",COMPLETE
1,,,2026-03-19 21:58:00.134434,2026-03-19 21:58:00.183271,0 days 00:00:00.048837,4.309748096284044,0.588801122324155,50.561654892430134,50.99517836171639,4.434081522021182,5.177302366351938,4.317480270840486,3.254856822961411e-07,7.706444642831426e-16,2.3396426232699718e-17,1.8046774695688753e-08,-15.875147450452271,0.0,,PRUNED
2,,,2026-03-19 21:58:00.184268,2026-03-19 21:58:00.232107,0 days 00:00:00.047839,4.307776626481764,0.607328124958072,49.923947863241104,52.68817752007169,4.221867415167527,5.266092707888453,4.351744398556312,3.3151413596806226e-07,2.446523318892408e-17,2.0277358629936625e-15,2.810816642950971e-08,-18.37522786210487,0.0,,PRUNED
3,,,2026-03-19 21:58:00.233112,2026-03-19 21:58:00.282677,0 days 00:00:00.049565,4.441959910259878,0.9545257155471064,47.44419746082395,52.12084802278694,4.269569958589506,5.368261612164762,4.340109022476212,3.2604884901231765e-07,2.106244396951139e-16,2.528664756140366e-17,9.586241437840423e-08,-17.71392059113072,0.0,,PRUNED
4,,,2026-03-19 21:58:00.282677,2026-03-19 21:58:00.330518,0 days 00:00:00.047841,4.46437220682338,0.7474209649494508,49.10494147441148,52.79328993369404,4.493450324992836,5.208739298073275,4.465957125308782,3.297153163614758e-07,1.4905473284011324e-17,3.0095110273663525e-17,3.1039252316266e-07,-14.498094644365942,0.0,,PRUNED
5,,,2026-03-19 21:58:00.331514,2026-03-19 21:58:00.500950,0 days 00:00:00.169436,4.418858733706349,0.8614145020977976,50.30951566938601,54.62531560582744,4.217312171010335,5.272854789965529,4.283532343012845,3.2445794585550576e-07,1.6737057828887236e-16,7.927110084332463e-16,3.1101929184461494e-07,-14.215949394918576,0.0,,PRUNED
6,,,2026-03-19 21:58:00.501945,2026-03-19 21:58:00.577692,0 days 00:00:00.075747,4.299556647825601,0.9279139504720235,49.65817611001155,53.466172564989165,4.451974863622171,5.183422200525335,4.311518829670558,3.28716833922475e-07,8.31657221881664e-15,2.112325217665917e-18,3.764022315776702e-07,-16.280379412813474,0.0,,PRUNED
7,,,2026-03-19 21:58:00.578690,2026-03-19 21:58:00.660417,0 days 00:00:00.081727,4.409244852827942,0.6214260191074119,49.74592745365421,51.16909078325767,4.486937817356209,5.1808525251894455,4.310135042802095,3.2824991550664037e-07,1.095955788790148e-15,5.2561597396494824e-17,1.0056995824047395e-07,-14.958007824410885,0.0,,PRUNED
8,0.019509648916492817,0.07011977013615023,2026-03-19 21:58:00.662415,2026-03-19 21:58:01.699239,0 days 00:00:01.036824,4.344677436889748,0.5169263209802613,46.68916772678993,54.1913288081704,4.394294254776291,5.246147010060091,4.2961546417544785,3.265189065304012e-07,5.055800940535033e-15,1.038801373098721e-16,1.5729868497106298e-07,-13.890092368982424,0.0,,COMPLETE
9,,,2026-03-19 21:58:01.700235,2026-03-19 21:58:01.774986,0 days 00:00:00.074751,4.2393891207387995,0.9782305104979165,48.096422250477964,55.040563061392575,4.382945669749712,5.154053538961306,4.484201730433873,3.3070067883181324e-07,5.546117436409194e-16,1.6509185987587174e-17,3.6738126094306486e-08,-18.228221587773984,0.0,,PRUNED
