number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
0,0.0015424295905973483,0.04970037796960662,2026-03-13 14:49:20.516688,2026-03-13 14:49:21.744823,0 days 00:00:01.228135,4.228569930482258,0.5,48.40830545410283,50.656872099270345,4.362478392556494,5.35,4.200000043430672,3.28e-07,1e-16,1e-17,1e-07,-16.354444994345954,,"{'d_sclc': 3.28e-07, 'W_L': 4.362478392556494, 'W_R_sclc': 4.200000043430672, 'mu_e': -16.354444994345954, 'E_d_sh': 4.228569930482258, 'N_t_sh': 50.656872099270345, 'N_t_d': 48.40830545410283, 'W_R': 5.35, 'G_frac': 0.5, 'l1_k_dir': 1e-17, 'l1_C_n_bulk': 1e-16, 'l1_mu_p': 1e-07}",COMPLETE
1,0.019068284128774086,0.34041380493377466,2026-03-13 14:49:21.745820,2026-03-13 14:49:22.500345,0 days 00:00:00.754525,4.304650420217555,0.6998267268940771,46.837191399894735,54.8367690248546,4.492242536668327,5.430169042570044,4.362726231944154,3.311470683540422e-07,5.659078259167531e-17,1.656911865455511e-17,2.528265680406056e-07,-14.904589714180553,0.0,,COMPLETE
2,0.09554870069172482,0.31647992986237405,2026-03-13 14:49:22.501342,2026-03-13 14:49:23.430528,0 days 00:00:00.929186,4.434497614469151,0.7908026460229354,49.11117597815825,51.005998974858116,4.268986643394483,5.206886429878823,4.277843352018292,3.2667357940756405e-07,2.5206001249268486e-18,2.1942798329971185e-16,1.1418193658376782e-07,-17.012697257638614,0.0,,COMPLETE
3,0.06663188493222004,0.7861409280196404,2026-03-13 14:49:23.430528,2026-03-13 14:49:24.110934,0 days 00:00:00.680406,4.297623046928112,0.8558344993501084,47.20453072494135,52.65289951352258,4.232692108055702,5.46642879359835,4.40095818640446,3.292087208627372e-07,2.5032055111174636e-15,1.3127061687680178e-17,2.4328863340454783e-07,-14.045165610209288,0.0,,COMPLETE
4,0.021355642263037652,0.6207419960402665,2026-03-13 14:49:24.111930,2026-03-13 14:49:24.905014,0 days 00:00:00.793084,4.270450472052964,0.7964511455429384,48.596477655873755,51.82028600039163,4.240432858214319,5.296603577013657,4.434062468845036,3.272920658932794e-07,6.158979109276872e-15,1.3107479848912352e-18,5.403720393363758e-08,-14.679795390366305,0.0,,COMPLETE
5,0.020623344198873374,0.1533774131286461,2026-03-13 14:49:24.906011,2026-03-13 14:49:25.623593,0 days 00:00:00.717582,4.279898652480756,0.5973534354330223,48.516160104903676,52.01090378662589,4.303566569944753,5.373603771287137,4.340750260243717,3.2774010524773464e-07,1.0294466636919959e-17,7.722527698200973e-15,1.1077649290620279e-07,-15.494277628869764,0.0,,COMPLETE
6,,,2026-03-13 14:49:25.624590,2026-03-13 14:49:25.674434,0 days 00:00:00.049844,4.374526402160387,0.9802605835305886,48.34577197737586,55.19330923895946,4.364692072929354,5.3728348879021794,4.214397148025601,3.248715064843419e-07,1.1987432770691565e-18,8.686518230982242e-15,2.372863604692571e-08,-17.620782686778302,0.0,,PRUNED
7,0.04480907310705446,0.15365237738277687,2026-03-13 14:49:25.675429,2026-03-13 14:49:26.448397,0 days 00:00:00.772968,4.308621471571233,0.5602156454450591,47.71074293475774,51.71802254050081,4.254720297026565,5.262331845331414,4.488572395488622,3.319296881845041e-07,8.063035226196599e-16,4.7545259520451695e-18,1.116305788081865e-07,-16.460715989219228,0.0,,COMPLETE
8,0.026820865430817038,0.5630491862748872,2026-03-13 14:49:26.449412,2026-03-13 14:49:27.174199,0 days 00:00:00.724787,4.363563829604771,0.7655076800486083,46.518609549881845,51.99591188499518,4.33760214289736,5.469400452663287,4.46100345964278,3.312398313210487e-07,8.650228858401368e-16,3.453555867807968e-17,9.291905895264919e-08,-14.214190697421056,0.0,,COMPLETE
9,,,2026-03-13 14:49:27.174199,2026-03-13 14:49:27.226898,0 days 00:00:00.052699,4.244710024283518,0.5893227036711659,49.91129276250031,54.690486696875205,4.401967040740928,5.358593017624401,4.3061355811083395,3.292739911624446e-07,2.120649468905568e-18,3.0528606452056397e-18,2.7781569286774994e-08,-17.579659430254058,0.0,,PRUNED
