# V, J(A/m2)
2.000000000000000389e-02,4.072380065917968750e-01
2.100301913217995919e-02,4.231844246387481689e-01
2.205634063333586706e-02,4.476893842220306396e-01
2.316248721539157160e-02,4.673881232738494873e-01
2.432410810668713882e-02,4.951246678829193115e-01
2.554398539689817921e-02,5.184707045555114746e-01
2.682504070015889405e-02,5.378136634826660156e-01
2.817034215234716366e-02,5.656550526618957520e-01
2.958311175929013298e-02,5.986588001251220703e-01
3.106673311348942534e-02,6.302591562271118164e-01
3.262475949784734985e-02,6.602074503898620605e-01
3.426092239580288273e-02,6.952025294303894043e-01
3.597914042825903214e-02,7.385966777801513672e-01
3.778352873870569062e-02,7.794501781463623047e-01
3.967840884901534249e-02,8.154075145721435547e-01
4.166831900951638995e-02,8.616100549697875977e-01
4.375802506813252640e-02,9.086089730262756348e-01
4.595253188461987520e-02,9.588150978088378906e-01
4.825709531723901269e-02,1.030362963676452637e+00
5.067723481057014034e-02,1.081915855407714844e+00
5.321874661461903355e-02,1.141615509986877441e+00
5.588771766687404552e-02,1.200187683105468750e+00
5.869054017056136996e-02,1.264909505844116211e+00
6.163392690401383461e-02,1.348272800445556641e+00
6.472492729781917364e-02,1.408613204956054688e+00
6.797094431825263794e-02,1.483762025833129883e+00
7.137975219742993815e-02,1.573463797569274902e+00
7.495951505264426828e-02,1.654015898704528809e+00
7.871880643948095391e-02,1.762743830680847168e+00
8.266662988553945268e-02,1.866276502609252930e+00
8.681244045394122255e-02,1.952650189399719238e+00
9.116616738826804900e-02,2.071239948272705078e+00
9.573823789316571187e-02,2.143348217010498047e+00
1.005396021075677521e-01,2.262247085571289062e+00
1.055817593303502860e-01,2.429885149002075195e+00
1.108767855612283332e-01,2.581232547760009766e+00
1.164373624228546150e-01,2.737037181854248047e+00
1.222768075333893617e-01,2.910461664199829102e+00
1.284091064022831463e-01,3.076928377151489258e+00
1.348489459256642375e-01,3.312781572341918945e+00
1.416117495615513144e-01,3.585806131362915039e+00
1.487137142691369318e-01,3.853999853134155273e+00
1.561718493006112873e-01,4.120637893676757812e+00
1.640040169384331947e-01,4.450214862823486328e+00
1.722289752756138992e-01,4.690037727355957031e+00
1.808664231414733592e-01,5.013971805572509766e+00
1.899370472804660370e-01,5.430545330047607422e+00
1.994625718970698680e-01,5.835632324218750000e+00
2.094658106853988788e-01,6.372851371765136719e+00
2.199707214681508594e-01,6.859694957733154297e+00
2.310024635757500500e-01,7.357413291931152344e+00
2.425874581031090826e-01,7.940450191497802734e+00
2.547534511883252084e-01,8.478335380554199219e+00
2.675295804648633036e-01,9.200038909912109375e+00
2.809464448463800945e-01,9.827746391296386719e+00
2.950361778113230748e-01,1.066002655029296875e+01
3.098325243628233250e-01,1.169531536102294922e+01
3.253709218481995458e-01,1.256160926818847656e+01
3.416885848316380536e-01,1.350929927825927734e+01
3.588245942233194152e-01,1.457820034027099609e+01
3.768199908784543584e-01,1.593327522277832031e+01
3.957178738904026383e-01,1.736114692687988281e+01
4.155635038132851067e-01,1.867684173583984375e+01
4.364044110613082839e-01,2.014173889160156250e+01
4.582905097444192055e-01,2.308596611022949219e+01
4.812742172129270690e-01,2.499127578735351562e+01
5.054105795974019877e-01,2.680998611450195312e+01
5.307574036445197319e-01,2.908487510681152344e+01
5.573753951646003291e-01,3.169725608825683594e+01
5.853283044224232290e-01,3.468173217773437500e+01
6.146830788195304374e-01,3.768819427490234375e+01
6.455100232336936639e-01,4.102477264404296875e+01
6.778829683995597488e-01,4.589284133911132812e+01
7.118794477337446747e-01,4.996379470825195312e+01
7.475808830278770634e-01,5.421926498413085938e+01
7.850727794543244098e-01,5.856978988647460938e+01
8.244449303516435679e-01,6.491127777099609375e+01
8.657916322802170495e-01,7.049856567382812500e+01
9.092119108631356861e-01,7.607794952392578125e+01
9.548097579532167645e-01,8.240498352050781250e+01
1.002694380694176379e+00,9.269282531738281250e+01
1.052980463072455963e+00,1.010814590454101562e+02
1.105788440586125132e+00,1.088343429565429688e+02
1.161244788688691187e+00,1.191446456909179688e+02
1.219482325698642011e+00,1.300731811523437500e+02
1.280640530900194252e+00,1.412251739501953125e+02
1.344865878597093944e+00,1.543293762207031250e+02
1.412312188919538469e+00,1.670128173828125000e+02
1.483140996224401098e+00,1.851486358642578125e+02
1.557521935971076799e+00,1.999716796875000000e+02
1.635633150999524554e+00,2.163612060546875000e+02
1.717661718183540076e+00,2.365382995605468750e+02
1.803804096481099517e+00,2.554722442626953125e+02
1.894266597454855594e+00,2.765877380371093750e+02
1.989265879389688019e+00,3.024690246582031250e+02
2.089029466190718942e+00,3.278239135742187500e+02
2.193796292304567519e+00,3.723768920898437500e+02
2.303817274968914308e+00,4.012799987792968750e+02
2.419355915160939841e+00,4.341602783203125000e+02
2.540688928683898506e+00,4.671464233398437500e+02
2.668106908903285834e+00,5.047916870117187500e+02
2.801915022719862147e+00,5.564307250976562500e+02
2.942433741446385032e+00,5.974049682617187500e+02
2.000000000000000389e-02,4.114667177200317383e-01
2.100301913217995919e-02,4.328606426715850830e-01
2.205634063333586706e-02,4.569644033908843994e-01
2.316248721539157160e-02,4.757318496704101562e-01
2.432410810668713882e-02,5.082467198371887207e-01
2.554398539689817921e-02,5.345115661621093750e-01
2.682504070015889405e-02,5.572880506515502930e-01
2.817034215234716366e-02,5.898025631904602051e-01
2.958311175929013298e-02,6.133993268013000488e-01
3.106673311348942534e-02,6.460291743278503418e-01
3.262475949784734985e-02,6.787472367286682129e-01
3.426092239580288273e-02,7.192830443382263184e-01
3.597914042825903214e-02,7.609587311744689941e-01
3.778352873870569062e-02,8.038766980171203613e-01
3.967840884901534249e-02,8.433896899223327637e-01
4.166831900951638995e-02,8.903095126152038574e-01
4.375802506813252640e-02,9.530643820762634277e-01
4.595253188461987520e-02,9.983476996421813965e-01
4.825709531723901269e-02,1.044554471969604492e+00
5.067723481057014034e-02,1.100356817245483398e+00
5.321874661461903355e-02,1.153353214263916016e+00
5.588771766687404552e-02,1.228754758834838867e+00
5.869054017056136996e-02,1.290226697921752930e+00
6.163392690401383461e-02,1.369970083236694336e+00
6.472492729781917364e-02,1.434539198875427246e+00
6.797094431825263794e-02,1.507087826728820801e+00
7.137975219742993815e-02,1.596435546875000000e+00
7.495951505264426828e-02,1.695175409317016602e+00
7.871880643948095391e-02,1.806447148323059082e+00
8.266662988553945268e-02,1.905962586402893066e+00
8.681244045394122255e-02,2.031911134719848633e+00
9.116616738826804900e-02,2.143642425537109375e+00
9.573823789316571187e-02,2.257923364639282227e+00
1.005396021075677521e-01,2.409592151641845703e+00
1.055817593303502860e-01,2.584498643875122070e+00
1.108767855612283332e-01,2.744078159332275391e+00
1.164373624228546150e-01,2.891455173492431641e+00
1.222768075333893617e-01,3.121653795242309570e+00
1.284091064022831463e-01,3.323914527893066406e+00
1.348489459256642375e-01,3.638600826263427734e+00
1.416117495615513144e-01,3.728989362716674805e+00
1.487137142691369318e-01,3.996480703353881836e+00
1.561718493006112873e-01,4.275177478790283203e+00
1.640040169384331947e-01,4.606611728668212891e+00
1.722289752756138992e-01,4.932971477508544922e+00
1.808664231414733592e-01,5.384041309356689453e+00
1.899370472804660370e-01,5.764599323272705078e+00
1.994625718970698680e-01,6.297715663909912109e+00
2.094658106853988788e-01,6.378566741943359375e+00
2.199707214681508594e-01,6.940978527069091797e+00
2.310024635757500500e-01,7.359111785888671875e+00
2.425874581031090826e-01,7.991730690002441406e+00
2.547534511883252084e-01,8.652599334716796875e+00
2.675295804648633036e-01,9.464836120605468750e+00
2.809464448463800945e-01,1.022274780273437500e+01
2.950361778113230748e-01,1.125575256347656250e+01
3.098325243628233250e-01,1.204056358337402344e+01
3.253709218481995458e-01,1.304980564117431641e+01
3.416885848316380536e-01,1.432538318634033203e+01
3.588245942233194152e-01,1.572153759002685547e+01
3.768199908784543584e-01,1.697162818908691406e+01
3.957178738904026383e-01,1.850708770751953125e+01
4.155635038132851067e-01,2.030889320373535156e+01
4.364044110613082839e-01,2.215063285827636719e+01
4.582905097444192055e-01,2.359424972534179688e+01
4.812742172129270690e-01,2.551210403442382812e+01
5.054105795974019877e-01,2.777267837524414062e+01
5.307574036445197319e-01,3.017330551147460938e+01
5.573753951646003291e-01,3.311305236816406250e+01
5.853283044224232290e-01,3.624002456665039062e+01
6.146830788195304374e-01,3.939426422119140625e+01
6.455100232336936639e-01,4.328520202636718750e+01
6.778829683995597488e-01,4.646747970581054688e+01
7.118794477337446747e-01,5.102753448486328125e+01
7.475808830278770634e-01,5.567903137207031250e+01
7.850727794543244098e-01,6.071910858154296875e+01
8.244449303516435679e-01,6.705410003662109375e+01
8.657916322802170495e-01,7.367725372314453125e+01
9.092119108631356861e-01,8.036629486083984375e+01
9.548097579532167645e-01,8.889495849609375000e+01
1.002694380694176379e+00,9.959371185302734375e+01
1.052980463072455963e+00,1.085577774047851562e+02
1.105788440586125132e+00,1.204734573364257812e+02
1.161244788688691187e+00,1.307916564941406250e+02
1.219482325698642011e+00,1.392493133544921875e+02
1.280640530900194252e+00,1.554843292236328125e+02
1.344865878597093944e+00,1.686817169189453125e+02
1.412312188919538469e+00,1.896336975097656250e+02
1.483140996224401098e+00,2.064730072021484375e+02
1.557521935971076799e+00,2.262926940917968750e+02
1.635633150999524554e+00,2.487316589355468750e+02
1.717661718183540076e+00,2.764289855957031250e+02
1.803804096481099517e+00,2.943901672363281250e+02
1.894266597454855594e+00,3.269291381835937500e+02
1.989265879389688019e+00,3.592168884277343750e+02
2.089029466190718942e+00,3.997612915039062500e+02
2.193796292304567519e+00,4.321881408691406250e+02
2.303817274968914308e+00,4.604297180175781250e+02
2.419355915160939841e+00,5.107021179199218750e+02
2.540688928683898506e+00,5.585734252929687500e+02
2.668106908903285834e+00,6.020709838867187500e+02
2.801915022719862147e+00,6.821369628906250000e+02
2.942433741446385032e+00,7.464949340820312500e+02
