number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_E_v,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
0,0.0015424295905973483,0.16668103351643057,2026-03-19 21:25:03.707681,2026-03-19 21:25:05.201877,0 days 00:00:01.494196,4.228569930482258,5.462262024503001,0.57,48.40830545410283,50.656872099270345,4.362478392556494,0.0,4.200000043430672,3.28e-07,1e-18,2e-17,3e-07,-16.354444994345954,0,"{'d_sclc': 3.28e-07, 'W_L': 4.362478392556494, 'W_R_sclc': 4.200000043430672, 'mu_e': -16.354444994345954, 'E_d_sh': 4.228569930482258, 'N_t_sh': 50.656872099270345, 'N_t_d': 48.40830545410283, 'W_R': 0, 'G_frac': 0.57, 'l1_k_dir': 2e-17, 'l1_C_n_bulk': 1e-18, 'l1_mu_p': 3e-07}",COMPLETE
1,0.031929087105008636,0.468331545725394,2026-03-19 21:25:05.202874,2026-03-19 21:25:06.411951,0 days 00:00:01.209077,4.2586769190555165,5.392484240366579,0.8065465661705988,48.335276199113295,53.09125646523925,4.269567211880239,0.07100975451049597,4.25465151642474,3.271160376931882e-07,6.2751299971167014e-15,8.118932792858218e-16,2.5175653219885834e-07,-15.420603276278884,0,,COMPLETE
2,,,2026-03-19 21:25:06.412946,2026-03-19 21:25:06.471752,0 days 00:00:00.058806,4.37869881841892,5.383477319769901,0.6320462107980076,46.18776793628591,54.27705344208669,4.3293350658880545,0.15230565107072377,4.3209772276325085,3.2929439510896837e-07,4.0374252898101394e-17,1.9927594945738248e-17,1.2927926637114733e-07,-16.76346028982101,0,,PRUNED
3,,,2026-03-19 21:25:06.472748,2026-03-19 21:25:06.531554,0 days 00:00:00.058806,4.427805865788013,5.326109752317796,0.943564790775815,48.79864856918606,53.3069833541693,4.365479794044434,0.2660207269707838,4.389041121684797,3.248577509151371e-07,4.227092911462536e-18,8.408417085353857e-16,2.113917962665851e-08,-15.975073391895839,0,,PRUNED
4,,,2026-03-19 21:25:06.531554,2026-03-19 21:25:06.586374,0 days 00:00:00.054820,4.4754113311240475,5.3021900950358285,0.9163430318705726,47.69339056730417,53.46622073432907,4.488557536982088,0.15355726361005487,4.33170579442998,3.283323841530363e-07,7.933548743299096e-18,6.323761042333629e-17,7.942219425286257e-08,-17.52258315603866,0,,PRUNED
5,0.07070394877236728,0.3465711046447356,2026-03-19 21:25:06.587379,2026-03-19 21:25:07.504211,0 days 00:00:00.916832,4.473427830746063,5.444320065674816,0.6677073155599524,48.461194170917985,50.84664280938357,4.481607101184512,0.10832817684958922,4.255783199090095,3.2993213366364137e-07,2.3493739337492107e-17,4.756733350384416e-15,2.0624927885590897e-08,-15.028798103618811,0,,COMPLETE
6,0.02081742322706187,0.5200861460709646,2026-03-19 21:25:07.505207,2026-03-19 21:25:09.002668,0 days 00:00:01.497461,4.3082215610716545,5.435203710574848,0.7353827201923289,48.04567534456783,54.48829531002765,4.225306970131729,0.2640848275771305,4.247524420098144,3.3139554636256997e-07,3.0136901829344866e-16,5.1726654089715444e-15,2.208960112563991e-08,-16.041312013786943,0,,COMPLETE
7,,,2026-03-19 21:25:09.003664,2026-03-19 21:25:09.063469,0 days 00:00:00.059805,4.391135222355522,5.395191783589366,0.8427858062617775,49.68053817949809,53.12496999465366,4.388929999288662,0.21701911039202343,4.297746595395442,3.243950686587153e-07,7.737942016101126e-15,1.3085209657050807e-17,4.504914139457439e-08,-16.001577415299618,0,,PRUNED
8,0.028793690026683083,0.21392224300104276,2026-03-19 21:25:09.064464,2026-03-19 21:25:10.048242,0 days 00:00:00.983778,4.356601063939713,5.456853027108453,0.6027730447351021,49.09144350481227,52.47526554884281,4.2806985693121815,0.20262683143865845,4.288806446987535,3.29370605436416e-07,3.012382076275439e-17,1.0012362898446848e-18,2.887095249334018e-07,-15.469268654277602,0,,COMPLETE
9,0.01504738147252109,0.5022238713106173,2026-03-19 21:25:10.049249,2026-03-19 21:25:11.118783,0 days 00:00:01.069534,4.229511130744973,5.348452356584094,0.7742813757045286,47.49134114453448,51.10358605416812,4.35293176648043,0.2566193831972892,4.272984229626048,3.2791494336343665e-07,1.1827536280614385e-18,9.533200669522454e-17,3.3612865633633655e-08,-16.222910751201194,0,,COMPLETE
10,,,2026-03-19 21:25:11.119780,2026-03-19 21:25:11.176585,0 days 00:00:00.056805,4.336752295534255,5.346214143378205,0.8341409836390055,50.244712334313654,54.208332808295566,4.345712557364651,0.16101397369529294,4.3797658513826825,3.282208791930488e-07,1.5782338321761972e-15,3.246587507464948e-17,7.365524691397998e-08,-15.66105976359528,0,,PRUNED
