# V, J(A/m2)
2.000000000000000389e-02,7.651108503341674805e-01
2.100301913217995919e-02,8.021550774574279785e-01
2.205634063333586706e-02,8.396033644676208496e-01
2.316248721539157160e-02,8.874798417091369629e-01
2.432410810668713882e-02,9.272775053977966309e-01
2.554398539689817921e-02,9.782707691192626953e-01
2.682504070015889405e-02,1.024100899696350098e+00
2.817034215234716366e-02,1.082229614257812500e+00
2.958311175929013298e-02,1.141404271125793457e+00
3.106673311348942534e-02,1.202667117118835449e+00
3.262475949784734985e-02,1.265061616897583008e+00
3.426092239580288273e-02,1.328958034515380859e+00
3.597914042825903214e-02,1.384187459945678711e+00
3.778352873870569062e-02,1.452548623085021973e+00
3.967840884901534249e-02,1.532258033752441406e+00
4.166831900951638995e-02,1.608517765998840332e+00
4.375802506813252640e-02,1.682583570480346680e+00
4.595253188461987520e-02,1.772375822067260742e+00
4.825709531723901269e-02,1.851145625114440918e+00
5.067723481057014034e-02,1.951276421546936035e+00
5.321874661461903355e-02,2.056697845458984375e+00
5.588771766687404552e-02,2.177159070968627930e+00
5.869054017056136996e-02,2.286806106567382812e+00
6.163392690401383461e-02,2.414210796356201172e+00
6.472492729781917364e-02,2.542241811752319336e+00
6.797094431825263794e-02,2.692466020584106445e+00
7.137975219742993815e-02,2.806362152099609375e+00
7.495951505264426828e-02,2.954304695129394531e+00
7.871880643948095391e-02,3.142035007476806641e+00
8.266662988553945268e-02,3.298255443572998047e+00
8.681244045394122255e-02,3.486816644668579102e+00
9.116616738826804900e-02,3.675647258758544922e+00
9.573823789316571187e-02,3.788204193115234375e+00
1.005396021075677521e-01,4.001651763916015625e+00
1.055817593303502860e-01,4.247428894042968750e+00
1.108767855612283332e-01,4.504261493682861328e+00
1.164373624228546150e-01,4.782932758331298828e+00
1.222768075333893617e-01,5.064731597900390625e+00
1.284091064022831463e-01,5.372182846069335938e+00
1.348489459256642375e-01,5.678313255310058594e+00
1.416117495615513144e-01,6.002472400665283203e+00
1.487137142691369318e-01,6.399306774139404297e+00
1.561718493006112873e-01,6.783166408538818359e+00
1.640040169384331947e-01,7.194316864013671875e+00
1.722289752756138992e-01,7.686128616333007812e+00
1.808664231414733592e-01,8.154406547546386719e+00
1.899370472804660370e-01,8.759037017822265625e+00
1.994625718970698680e-01,9.295871734619140625e+00
2.094658106853988788e-01,9.865345954895019531e+00
2.199707214681508594e-01,1.051010227203369141e+01
2.310024635757500500e-01,1.128522491455078125e+01
2.425874581031090826e-01,1.210757827758789062e+01
2.547534511883252084e-01,1.282498645782470703e+01
2.675295804648633036e-01,1.371722412109375000e+01
2.809464448463800945e-01,1.484241294860839844e+01
2.950361778113230748e-01,1.586102008819580078e+01
3.098325243628233250e-01,1.707930946350097656e+01
3.253709218481995458e-01,1.829810333251953125e+01
3.416885848316380536e-01,1.972020530700683594e+01
3.588245942233194152e-01,2.112664604187011719e+01
3.768199908784543584e-01,2.265015602111816406e+01
3.957178738904026383e-01,2.455080223083496094e+01
4.155635038132851067e-01,2.634826278686523438e+01
4.364044110613082839e-01,2.855743408203125000e+01
4.582905097444192055e-01,2.999902725219726562e+01
4.812742172129270690e-01,3.225462341308593750e+01
5.054105795974019877e-01,3.492129516601562500e+01
5.307574036445197319e-01,3.786111068725585938e+01
5.573753951646003291e-01,4.059619522094726562e+01
5.853283044224232290e-01,4.381448745727539062e+01
6.146830788195304374e-01,4.760354995727539062e+01
6.455100232336936639e-01,5.164222717285156250e+01
6.778829683995597488e-01,5.589365386962890625e+01
7.118794477337446747e-01,6.083282470703125000e+01
7.475808830278770634e-01,6.572429656982421875e+01
7.850727794543244098e-01,7.163880920410156250e+01
8.244449303516435679e-01,7.734059143066406250e+01
8.657916322802170495e-01,8.412745666503906250e+01
9.092119108631356861e-01,9.095236206054687500e+01
9.548097579532167645e-01,9.871260070800781250e+01
1.002694380694176379e+00,1.090431671142578125e+02
1.052980463072455963e+00,1.185636291503906250e+02
1.105788440586125132e+00,1.297109832763671875e+02
1.161244788688691187e+00,1.411710357666015625e+02
1.219482325698642011e+00,1.525136566162109375e+02
1.280640530900194252e+00,1.664286651611328125e+02
1.344865878597093944e+00,1.801910095214843750e+02
1.412312188919538469e+00,1.977603607177734375e+02
1.483140996224401098e+00,2.147519989013671875e+02
1.557521935971076799e+00,2.345718078613281250e+02
1.635633150999524554e+00,2.567422790527343750e+02
1.717661718183540076e+00,2.792578125000000000e+02
1.803804096481099517e+00,3.080067443847656250e+02
1.894266597454855594e+00,3.352730102539062500e+02
1.989265879389688019e+00,3.646810302734375000e+02
2.089029466190718942e+00,4.020928649902343750e+02
2.193796292304567519e+00,4.384510498046875000e+02
2.303817274968914308e+00,4.731896667480468750e+02
2.419355915160939841e+00,5.260007934570312500e+02
2.540688928683898506e+00,5.706210937500000000e+02
2.668106908903285834e+00,6.300990600585937500e+02
2.801915022719862147e+00,6.860735473632812500e+02
2.942433741446385032e+00,7.505824584960937500e+02
2.000000000000000389e-02,7.579212188720703125e-01
2.100301913217995919e-02,7.977593541145324707e-01
2.205634063333586706e-02,8.291081786155700684e-01
2.316248721539157160e-02,8.752936124801635742e-01
2.432410810668713882e-02,9.183133840560913086e-01
2.554398539689817921e-02,9.682077765464782715e-01
2.682504070015889405e-02,1.012505888938903809e+00
2.817034215234716366e-02,1.064967632293701172e+00
2.958311175929013298e-02,1.117484569549560547e+00
3.106673311348942534e-02,1.180267333984375000e+00
3.262475949784734985e-02,1.235129594802856445e+00
3.426092239580288273e-02,1.302637338638305664e+00
3.597914042825903214e-02,1.371332049369812012e+00
3.778352873870569062e-02,1.440854310989379883e+00
3.967840884901534249e-02,1.514799594879150391e+00
4.166831900951638995e-02,1.593493819236755371e+00
4.375802506813252640e-02,1.653344154357910156e+00
4.595253188461987520e-02,1.736872196197509766e+00
4.825709531723901269e-02,1.823579788208007812e+00
5.067723481057014034e-02,1.918955564498901367e+00
5.321874661461903355e-02,2.018106937408447266e+00
5.588771766687404552e-02,2.127759933471679688e+00
5.869054017056136996e-02,2.227475643157958984e+00
6.163392690401383461e-02,2.341321945190429688e+00
6.472492729781917364e-02,2.469044923782348633e+00
6.797094431825263794e-02,2.613527774810791016e+00
7.137975219742993815e-02,2.743120431900024414e+00
7.495951505264426828e-02,2.894324302673339844e+00
7.871880643948095391e-02,3.034742355346679688e+00
8.266662988553945268e-02,3.205552577972412109e+00
8.681244045394122255e-02,3.361685037612915039e+00
9.116616738826804900e-02,3.549936294555664062e+00
9.573823789316571187e-02,3.665887117385864258e+00
1.005396021075677521e-01,3.852669477462768555e+00
1.055817593303502860e-01,4.040328502655029297e+00
1.108767855612283332e-01,4.268732070922851562e+00
1.164373624228546150e-01,4.510502815246582031e+00
1.222768075333893617e-01,4.786492347717285156e+00
1.284091064022831463e-01,5.016162395477294922e+00
1.348489459256642375e-01,5.293809890747070312e+00
1.416117495615513144e-01,5.642695426940917969e+00
1.487137142691369318e-01,5.957101345062255859e+00
1.561718493006112873e-01,6.291556358337402344e+00
1.640040169384331947e-01,6.664451122283935547e+00
1.722289752756138992e-01,7.048480987548828125e+00
1.808664231414733592e-01,7.467049598693847656e+00
1.899370472804660370e-01,7.851369857788085938e+00
1.994625718970698680e-01,8.327665328979492188e+00
2.094658106853988788e-01,8.635980606079101562e+00
2.199707214681508594e-01,9.157497406005859375e+00
2.310024635757500500e-01,9.710341453552246094e+00
2.425874581031090826e-01,1.033012008666992188e+01
2.547534511883252084e-01,1.099386024475097656e+01
2.675295804648633036e-01,1.167534542083740234e+01
2.809464448463800945e-01,1.241708564758300781e+01
2.950361778113230748e-01,1.323813056945800781e+01
3.098325243628233250e-01,1.437229251861572266e+01
3.253709218481995458e-01,1.532983779907226562e+01
3.416885848316380536e-01,1.636100769042968750e+01
3.588245942233194152e-01,1.741407585144042969e+01
3.768199908784543584e-01,1.861612892150878906e+01
3.957178738904026383e-01,1.984093284606933594e+01
4.155635038132851067e-01,2.123329734802246094e+01
4.364044110613082839e-01,2.264415168762207031e+01
4.582905097444192055e-01,2.470450019836425781e+01
4.812742172129270690e-01,2.624278831481933594e+01
5.054105795974019877e-01,2.768451499938964844e+01
5.307574036445197319e-01,2.976324462890625000e+01
5.573753951646003291e-01,3.220783996582031250e+01
5.853283044224232290e-01,3.429010772705078125e+01
6.146830788195304374e-01,3.663344955444335938e+01
6.455100232336936639e-01,3.930180358886718750e+01
6.778829683995597488e-01,4.255889129638671875e+01
7.118794477337446747e-01,4.564134979248046875e+01
