number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
0,0.0015424295905973483,0.13395775176162159,2026-03-19 22:19:18.051451,2026-03-19 22:19:19.220579,0 days 00:00:01.169128,4.228569930482258,0.57,48.40830545410283,50.656872099270345,4.362478392556494,5.4,4.200000043430672,3.28e-07,1e-18,2e-17,3e-07,-16.354444994345954,,"{'d_sclc': 3.28e-07, 'W_L': 4.362478392556494, 'W_R_sclc': 4.200000043430672, 'mu_e': -16.354444994345954, 'E_d_sh': 4.228569930482258, 'N_t_sh': 50.656872099270345, 'N_t_d': 48.40830545410283, 'W_R': 5.4, 'G_frac': 0.57, 'l1_k_dir': 2e-17, 'l1_C_n_bulk': 1e-18, 'l1_mu_p': 3e-07}",COMPLETE
1,0.06723871860256178,0.19432193053366226,2026-03-19 22:19:19.221575,2026-03-19 22:19:20.717617,0 days 00:00:01.496042,4.430191154011622,0.6106644077566932,47.140825204292895,53.24990570784564,4.285564760796386,5.181141693847621,4.478397670756505,3.27353900783799e-07,1.9166173781978027e-16,5.8234977085604855e-18,3.5946564385159697e-07,-14.45791075241498,0.0,,COMPLETE
2,,,2026-03-19 22:19:20.719613,2026-03-19 22:19:20.804328,0 days 00:00:00.084715,4.409453872382049,0.7567631397162459,48.81652732474676,52.77934965121881,4.339566839970428,5.175449368133595,4.470370691861518,3.3036398901191836e-07,1.0585738937638276e-16,6.821664050098902e-16,9.504589148812923e-07,-17.467501310836653,0.0,,PRUNED
3,,,2026-03-19 22:19:20.806322,2026-03-19 22:19:20.879252,0 days 00:00:00.072930,4.4766813464662105,0.8671449626241529,47.02688298613153,52.322800374493916,4.210249900614064,5.151768211770504,4.307770418722626,3.2935450055946504e-07,9.998428052670627e-18,1.2333542902471167e-17,3.543029999511119e-08,-17.208422870895962,0.0,,PRUNED
4,,,2026-03-19 22:19:20.880249,2026-03-19 22:19:20.959982,0 days 00:00:00.079733,4.452194056945528,0.925292186529215,46.22532220472275,53.90212917402104,4.413063464156226,5.139589876871733,4.412421301634309,3.240261752799562e-07,3.407874987961808e-15,1.1122454475683976e-17,1.9448837996643002e-08,-16.342283067100517,0.0,,PRUNED
5,,,2026-03-19 22:19:20.960979,2026-03-19 22:19:21.050683,0 days 00:00:00.089704,4.473539189400408,0.745274202721264,49.383441778681586,51.54063384513426,4.368552720633515,5.2882975505410155,4.448526042084673,3.3080157810960043e-07,2.7748401788359626e-18,5.083835269280825e-18,8.920008280301598e-08,-17.673199010874896,0.0,,PRUNED
6,0.02441828038773034,0.5816154418263997,2026-03-19 22:19:21.052675,2026-03-19 22:19:22.302021,0 days 00:00:01.249346,4.236341919713559,0.798355579424233,49.400647338187966,54.5215763926299,4.212518263285674,5.271481383850393,4.243159355525223,3.3135288484467284e-07,1.7105115772051753e-17,4.527056461426312e-18,2.3683942991672965e-08,-14.666718540569995,0.0,,COMPLETE
7,0.016779546122808534,0.010639812357229186,2026-03-19 22:19:22.303018,2026-03-19 22:19:23.413832,0 days 00:00:01.110814,4.261028024363931,0.5019836635872374,46.13945573477512,54.57992769770512,4.354882622370904,5.356027057906894,4.240364667243005,3.2545104483393726e-07,1.7553880687921534e-18,1.246840165560895e-17,1.1296616855227457e-07,-15.959018859395377,0.0,,COMPLETE
8,,,2026-03-19 22:19:23.414829,2026-03-19 22:19:23.492572,0 days 00:00:00.077743,4.431007592008652,0.7899085087483708,49.4421201790617,53.76884338819194,4.486293545489781,5.311119768358204,4.2505066151722986,3.25775574459385e-07,8.533778006381636e-16,7.02754460632414e-18,2.9196861949470702e-08,-18.30600714882121,0.0,,PRUNED
9,,,2026-03-19 22:19:23.493569,2026-03-19 22:19:23.578289,0 days 00:00:00.084720,4.346391473858665,0.839495413188428,50.00814285122951,53.20826630477043,4.327578340678173,5.173745464416726,4.407701766234827,3.2476768667437384e-07,3.950532649330924e-18,2.342189909889672e-18,3.908030521543569e-08,-13.902829160539538,0.0,,PRUNED
10,,,2026-03-19 22:19:23.579285,2026-03-19 22:19:23.644067,0 days 00:00:00.064782,4.412447929804131,0.5124240328693013,46.14686494575479,54.74436532715733,4.494668996256787,5.144030705628774,4.268427898267387,3.2567183537851003e-07,2.826591445403798e-17,2.6068784880053496e-15,3.349396431188418e-08,-18.34728811494609,0.0,,PRUNED
11,0.0126799462620002,0.27072755423456657,2026-03-19 22:19:23.645063,2026-03-19 22:19:24.910865,0 days 00:00:01.265802,4.2759394707822205,0.601261737934433,48.14117974131507,53.5097443992023,4.379094027358925,5.25731944620876,4.228701478791007,3.300046361651114e-07,3.743188188281788e-16,1.839811767655574e-15,3.2832837171750414e-07,-16.56411822023091,0.0,,COMPLETE
12,0.08904302304085314,1.375918028053007,2026-03-19 22:19:24.911862,2026-03-19 22:19:26.097924,0 days 00:00:01.186062,4.264602503839808,0.9812616355617418,47.2696179464182,52.816861462694746,4.243716311834802,5.150344781411438,4.202631932308021,3.2946939533859695e-07,2.8529282891538365e-15,2.019317652131306e-15,2.2761970283203117e-07,-13.823996402077503,0.0,,COMPLETE
13,0.06615420760605804,0.3492232822371802,2026-03-19 22:19:26.098921,2026-03-19 22:19:27.384654,0 days 00:00:01.285733,4.390470589747131,0.6453002081412837,47.657262622627464,53.67328533997079,4.20217223542595,5.3849669986550355,4.471617761650593,3.3131307352316815e-07,4.6321389880638235e-15,1.6316504914403094e-18,4.329616891648312e-07,-15.274175864290648,0.0,,COMPLETE
14,0.03333077741912562,0.7969877774186483,2026-03-19 22:19:27.384654,2026-03-19 22:19:28.459079,0 days 00:00:01.074425,4.32494094338207,0.9590589499682626,47.21894705217983,52.6912697305344,4.275698360101735,5.198907893961117,4.330018768322298,3.3153967771529567e-07,1.1136735565234584e-17,9.363901627383582e-17,2.2666054675788584e-07,-15.03628962338173,0.0,,COMPLETE
15,0.020914855112844778,0.23020349679648988,2026-03-19 22:19:28.460076,2026-03-19 22:19:29.689994,0 days 00:00:01.229918,4.260365157779816,0.635445991132707,47.59972727389745,51.76899486165232,4.278853203882577,5.243587256210744,4.459824136695029,3.263344219019608e-07,2.9609092686304084e-15,5.894019892940314e-18,1.827830267675341e-08,-15.28948661230889,0.0,,COMPLETE
16,,,2026-03-19 22:19:29.690990,2026-03-19 22:19:29.764744,0 days 00:00:00.073754,4.357074150999486,0.8099870617579454,47.35206989570072,51.2633542080503,4.4364793837227925,5.218257082852328,4.490757676036058,3.304381708361334e-07,1.012281562761998e-17,3.0720534594165962e-18,1.9225066023405543e-07,-17.77958325446371,0.0,,PRUNED
17,0.010467844848462518,0.24767303600674076,2026-03-19 22:19:29.765741,2026-03-19 22:19:31.026071,0 days 00:00:01.260330,4.331319307206571,0.6170281125049464,47.63940518084415,52.527664145721424,4.276990294871023,5.191556639371847,4.436455228389965,3.3114399659286634e-07,5.36538294022442e-17,5.7082544639999895e-18,3.122790678372754e-08,-15.310168336605344,0.0,,COMPLETE
18,0.007219958166322941,0.6068919146184784,2026-03-19 22:19:31.027068,2026-03-19 22:19:32.000835,0 days 00:00:00.973767,4.33391702919369,0.9362508087043055,48.23991758273662,50.819794206275695,4.440673365451567,5.284256003823779,4.387594139623272,3.254850005132997e-07,1.3024558698540351e-15,4.890460045262088e-16,2.204423452163119e-08,-15.090298316788083,0.0,,COMPLETE
19,0.08726907634186218,0.6286336920080484,2026-03-19 22:19:32.001833,2026-03-19 22:19:32.983085,0 days 00:00:00.981252,4.324334632475277,0.5734626953013121,48.36260716514881,53.67038544442538,4.480453249481901,5.153104258531733,4.348992119431817,3.251399719485848e-07,4.0801167397463484e-15,6.1757272815319185e-15,6.509594086601479e-07,-17.043956883873218,0.0,,COMPLETE
20,,,2026-03-19 22:19:32.983085,2026-03-19 22:19:33.041889,0 days 00:00:00.058804,4.447956631019938,0.9302460466192994,47.61560988712437,54.18359479136529,4.343335199482227,5.338272926605175,4.371696072757671,3.282041989267677e-07,2.812351200583881e-15,6.843791091869641e-15,6.218445687959918e-08,-15.98890659804417,0.0,,PRUNED
21,,,2026-03-19 22:19:33.042886,2026-03-19 22:19:33.105676,0 days 00:00:00.062790,4.353687883816587,0.6355256999342852,46.4986533551701,53.83711645618567,4.241773099697913,5.118575239756805,4.410236102324009,3.2474804444806666e-07,6.563281380112559e-18,7.109878627949783e-16,6.969221282686308e-07,-18.235552624304336,0.0,,PRUNED
22,,,2026-03-19 22:19:33.106672,2026-03-19 22:19:33.161494,0 days 00:00:00.054822,4.257656522158454,0.9104881772337756,49.55192657672303,52.32467753955956,4.410266109740677,5.244067313893602,4.349475410670669,3.29108772284893e-07,1.0495357214005454e-18,5.7299645416594955e-18,5.957824237575285e-08,-17.583334983602207,0.0,,PRUNED
23,0.03801610844661026,0.3187190767684134,2026-03-19 22:19:33.162489,2026-03-19 22:19:34.031604,0 days 00:00:00.869115,4.318753000958001,0.6734900863365575,48.18966936955562,52.44795903216775,4.216098710646795,5.327725144793689,4.351720865184129,3.248092396479375e-07,2.1234414590750286e-16,9.742401106525117e-17,7.691178128646992e-08,-14.837079381260818,0.0,,COMPLETE
24,,,2026-03-19 22:19:34.032602,2026-03-19 22:19:34.089412,0 days 00:00:00.056810,4.248151873214415,0.9544366871309358,50.144225796131245,52.953558465179604,4.499778058717118,5.257198006717555,4.281094333159813,3.3091927944533073e-07,2.3603158174385786e-17,2.712875373924153e-16,1.394341429328647e-08,-14.203761841203056,0.0,,PRUNED
