lambda	I
3.000000000000000394e-07	9.152197002954749041e+04
3.010000000000000086e-07	7.888947562829588423e+04
3.020000000000000308e-07	1.014786453602591646e+05
3.030000000000000001e-07	9.380479790848026460e+04
3.040000000000000222e-07	8.031623308624379570e+04
3.050000000000000444e-07	7.251428230940585490e+04
3.060000000000000137e-07	8.152602041387822828e+04
3.070000000000000359e-07	8.770939449674390198e+04
3.080000000000000051e-07	8.700614586826528830e+04
3.090000000000000273e-07	6.190551401291003276e+04
3.099999999999999966e-07	7.335499868693343888e+04
3.110000000000000187e-07	9.334829615165860741e+04
3.120000000000000409e-07	6.967416988373878121e+04
3.130000000000000102e-07	7.743164347581908805e+04
3.140000000000000324e-07	7.277794424575541052e+04
3.150000000000000016e-07	8.994072902633194462e+04
3.160000000000000238e-07	7.446717109595719376e+04
3.170000000000000460e-07	7.606518105389356788e+04
3.180000000000000153e-07	9.110120271610883356e+04
3.190000000000000374e-07	7.056557321137463441e+04
3.200000000000000067e-07	6.704143158607915393e+04
3.210000000000000289e-07	6.867072942732542288e+04
3.219999999999999981e-07	8.925365277355151193e+04
3.230000000000000203e-07	7.461829711052576022e+04
3.240000000000000425e-07	6.767886890357799712e+04
3.250000000000000118e-07	7.443082108828854689e+04
3.260000000000000340e-07	7.041210342895738722e+04
3.270000000000000032e-07	7.063422618332208367e+04
3.280000000000000254e-07	6.158462785272784095e+04
3.289999999999999946e-07	7.934136886619230791e+04
3.300000000000000168e-07	8.098630347167147556e+04
3.310000000000000390e-07	8.754175816555143683e+04
3.320000000000000083e-07	8.190664129995825351e+04
3.330000000000000305e-07	8.693552804721651773e+04
3.339999999999999997e-07	7.834298543796116428e+04
3.350000000000000219e-07	7.984330106118768163e+04
3.360000000000000441e-07	7.543659477877369500e+04
3.370000000000000133e-07	7.719582333498400112e+04
3.380000000000000355e-07	6.705114654429611983e+04
3.390000000000000048e-07	7.115064629244718526e+04
3.400000000000000270e-07	7.053282242239998595e+04
3.409999999999999962e-07	5.688506473642453057e+04
3.420000000000000184e-07	7.034598356882980443e+04
3.430000000000000406e-07	6.601628469867308741e+04
3.440000000000000098e-07	7.153048586086998694e+04
3.450000000000000320e-07	6.404521496810092503e+04
3.460000000000000013e-07	7.772309926274282043e+04
3.470000000000000235e-07	7.299066772703068273e+04
3.480000000000000457e-07	6.577182745718100341e+04
3.490000000000000149e-07	5.774007446640249691e+04
3.500000000000000371e-07	6.472915120246463630e+04
3.510000000000000064e-07	7.397407086675452592e+04
3.520000000000000285e-07	7.473112790352542652e+04
3.529999999999999978e-07	8.119339131900754001e+04
3.540000000000000200e-07	6.131016027905140800e+04
3.550000000000000422e-07	6.220699234974710271e+04
3.560000000000000114e-07	6.637735235902010754e+04
3.570000000000000336e-07	7.288765293761465000e+04
3.580000000000000029e-07	6.568274415971395501e+04
3.590000000000000250e-07	7.111718159158497292e+04
3.600000000000000472e-07	6.840194564565308974e+04
3.610000000000000165e-07	5.819714171073527541e+04
3.620000000000000387e-07	7.116249080801452510e+04
3.630000000000000079e-07	8.023634825480832660e+04
3.640000000000000301e-07	7.174910965453791141e+04
3.649999999999999994e-07	7.015637221861262515e+04
3.660000000000000216e-07	5.955177804943342198e+04
3.670000000000000437e-07	7.522086361680264235e+04
3.680000000000000130e-07	6.177821602600727056e+04
3.690000000000000352e-07	6.969844479861285072e+04
3.700000000000000044e-07	6.625446317979604646e+04
3.710000000000000266e-07	6.565166259754932253e+04
3.720000000000000488e-07	6.083118158758695063e+04
3.730000000000000181e-07	6.984013190332837985e+04
3.740000000000000403e-07	6.248395327406937577e+04
3.750000000000000095e-07	6.628504310228778922e+04
3.760000000000000317e-07	7.543599718820830458e+04
3.770000000000000009e-07	5.429881325262275641e+04
3.780000000000000231e-07	6.501216054379034904e+04
3.790000000000000453e-07	6.554938875351597380e+04
3.800000000000000146e-07	5.680931320529360528e+04
3.810000000000000368e-07	5.144629571193810261e+04
3.820000000000000060e-07	5.213543835408094310e+04
3.830000000000000282e-07	6.190179137431154231e+04
3.840000000000000504e-07	6.120927285604692588e+04
3.850000000000000196e-07	5.967999003124809678e+04
3.860000000000000418e-07	5.381282179945197277e+04
3.870000000000000111e-07	6.305859165843301162e+04
3.880000000000000333e-07	6.162776602037248085e+04
3.890000000000000025e-07	6.635877463296310452e+04
3.900000000000000247e-07	6.318273986853619135e+04
3.910000000000000469e-07	5.231578208079152682e+04
3.920000000000000161e-07	5.809500052582820354e+04
3.930000000000000383e-07	6.362831563283642754e+04
3.940000000000000076e-07	6.869035806453775149e+04
3.950000000000000298e-07	7.079533057632151758e+04
3.959999999999999990e-07	6.323838867887472588e+04
3.970000000000000212e-07	7.767162461572716711e+04
