x	G_ehp
0.000000000000000000e+00	3.866217000000000227e+27
1.250000000000000026e-09	3.817732000000000146e+27
2.500000000000000052e-09	3.754316000000000164e+27
3.749999999999999665e-09	3.692344000000000064e+27
5.000000000000000105e-09	3.631775999999999754e+27
6.249999999999999717e-09	3.572574999999999891e+27
7.499999999999999330e-09	3.514704000000000034e+27
8.750000000000000597e-09	3.458123000000000091e+27
1.000000000000000021e-08	3.402795000000000172e+27
1.124999999999999982e-08	3.348682999999999834e+27
1.249999999999999943e-08	3.295749999999999736e+27
1.375000000000000070e-08	3.243958999999999985e+27
1.499999999999999866e-08	3.193273999999999839e+27
1.624999999999999993e-08	3.143657999999999958e+27
1.750000000000000119e-08	3.095075000000000147e+27
1.874999999999999915e-08	3.047489999999999917e+27
2.000000000000000042e-08	3.000867999999999873e+27
2.124999999999999838e-08	2.955174000000000074e+27
2.249999999999999964e-08	2.910373999999999728e+27
2.375000000000000091e-08	2.866434000000000241e+27
2.499999999999999887e-08	2.823320999999999972e+27
2.625000000000000014e-08	2.781002000000000027e+27
2.750000000000000140e-08	2.739443999999999864e+27
2.874999999999999936e-08	2.698617000000000239e+27
2.999999999999999732e-08	2.658488999999999760e+27
3.124999999999999859e-08	2.619029000000000033e+27
3.249999999999999985e-08	2.580207999999999865e+27
3.375000000000000112e-08	2.541996000000000012e+27
3.500000000000000239e-08	2.504365000000000081e+27
3.624999999999999704e-08	2.467287999999999927e+27
3.749999999999999830e-08	2.430736999999999982e+27
3.874999999999999957e-08	2.394687000000000051e+27
4.000000000000000084e-08	2.359110999999999991e+27
4.125000000000000210e-08	2.323985000000000131e+27
4.249999999999999675e-08	2.289285999999999952e+27
4.374999999999999802e-08	2.254990000000000058e+27
4.499999999999999929e-08	2.221074999999999905e+27
4.625000000000000055e-08	2.187520999999999998e+27
4.750000000000000182e-08	2.154308000000000015e+27
4.875000000000000309e-08	2.121414999999999936e+27
4.999999999999999774e-08	2.088824999999999916e+27
5.124999999999999900e-08	2.056521000000000107e+27
5.250000000000000027e-08	2.024484999999999864e+27
5.375000000000000154e-08	1.992704000000000064e+27
5.500000000000000281e-08	1.961162000000000012e+27
5.624999999999999745e-08	1.929846000000000035e+27
5.749999999999999872e-08	1.898743999999999885e+27
5.874999999999999999e-08	1.867845000000000116e+27
5.999999999999999464e-08	1.837137999999999904e+27
6.124999999999999590e-08	1.806615000000000002e+27
6.249999999999999717e-08	1.776266000000000111e+27
6.374999999999999844e-08	1.746086000000000082e+27
6.499999999999999971e-08	1.716067000000000118e+27
6.625000000000000097e-08	1.686206000000000019e+27
6.750000000000000224e-08	1.656495999999999962e+27
6.875000000000000351e-08	1.626936999999999947e+27
7.000000000000000477e-08	1.597525000000000073e+27
7.125000000000000604e-08	1.568260000000000068e+27
7.249999999999999407e-08	1.539140999999999955e+27
7.374999999999999534e-08	1.510168999999999984e+27
7.499999999999999661e-08	1.481346000000000106e+27
7.624999999999999787e-08	1.452673999999999994e+27
7.749999999999999914e-08	1.424158000000000073e+27
7.875000000000000041e-08	1.395800999999999992e+27
8.000000000000000167e-08	1.367607999999999899e+27
8.125000000000000294e-08	1.339585999999999894e+27
8.250000000000000421e-08	1.311742000000000074e+27
8.375000000000000547e-08	1.284082000000000014e+27
8.499999999999999351e-08	1.256616000000000010e+27
8.624999999999999477e-08	1.229351000000000025e+27
8.749999999999999604e-08	1.202298000000000055e+27
8.874999999999999731e-08	1.175466999999999987e+27
8.999999999999999857e-08	1.148867000000000004e+27
9.124999999999999984e-08	1.122512000000000031e+27
9.250000000000000111e-08	1.096410999999999976e+27
9.375000000000000238e-08	1.070578000000000036e+27
9.500000000000000364e-08	1.045023999999999935e+27
9.625000000000000491e-08	1.019763000000000007e+27
9.750000000000000618e-08	9.948071999999999712e+26
9.874999999999999421e-08	9.701706000000000249e+26
9.999999999999999547e-08	9.458664999999999427e+26
1.012499999999999967e-07	9.219087999999999788e+26
1.024999999999999980e-07	8.983111999999999528e+26
1.037499999999999993e-07	8.750873999999999592e+26
1.050000000000000005e-07	8.522514000000000573e+26
1.062500000000000018e-07	8.298174999999999966e+26
1.075000000000000031e-07	8.077991999999999865e+26
1.087500000000000043e-07	7.862101999999999840e+26
1.100000000000000056e-07	7.650638999999999812e+26
1.112499999999999936e-07	7.443734000000000050e+26
1.124999999999999949e-07	7.241519999999999677e+26
1.137499999999999962e-07	7.044119999999999440e+26
1.149999999999999974e-07	6.851659000000000310e+26
1.162499999999999987e-07	6.664255000000000413e+26
1.175000000000000000e-07	6.482022000000000173e+26
1.187500000000000012e-07	6.305069000000000141e+26
1.199999999999999893e-07	6.133500000000000305e+26
1.212500000000000038e-07	5.967412999999999984e+26
1.224999999999999918e-07	5.806899999999999879e+26
1.237500000000000063e-07	5.652045999999999912e+26
1.249999999999999943e-07	5.502928999999999901e+26
1.262500000000000088e-07	5.359620000000000256e+26
