x	G_ehp
0.000000000000000000e+00	1.678332000000000005e+28
1.250000000000000026e-09	1.657277000000000010e+28
2.500000000000000052e-09	1.629738000000000087e+28
3.749999999999999665e-09	1.602824000000000077e+28
5.000000000000000105e-09	1.576519999999999972e+28
6.249999999999999717e-09	1.550807999999999896e+28
7.499999999999999330e-09	1.525673000000000062e+28
8.750000000000000597e-09	1.501096999999999935e+28
1.000000000000000021e-08	1.477065999999999977e+28
1.124999999999999982e-08	1.453562000000000093e+28
1.249999999999999943e-08	1.430569000000000026e+28
1.375000000000000070e-08	1.408070999999999959e+28
1.499999999999999866e-08	1.386053999999999917e+28
1.624999999999999993e-08	1.364500000000000021e+28
1.750000000000000119e-08	1.343395000000000077e+28
1.874999999999999915e-08	1.322722000000000017e+28
2.000000000000000042e-08	1.302467999999999894e+28
2.124999999999999838e-08	1.282616999999999893e+28
2.249999999999999964e-08	1.263154000000000005e+28
2.375000000000000091e-08	1.244064000000000005e+28
2.499999999999999887e-08	1.225333999999999946e+28
2.625000000000000014e-08	1.206948000000000010e+28
2.750000000000000140e-08	1.188894000000000061e+28
2.874999999999999936e-08	1.171156000000000062e+28
2.999999999999999732e-08	1.153722999999999906e+28
3.124999999999999859e-08	1.136580000000000026e+28
3.249999999999999985e-08	1.119714000000000034e+28
3.375000000000000112e-08	1.103114000000000044e+28
3.500000000000000239e-08	1.086767000000000107e+28
3.624999999999999704e-08	1.070660000000000058e+28
3.749999999999999830e-08	1.054783000000000038e+28
3.874999999999999957e-08	1.039123000000000100e+28
4.000000000000000084e-08	1.023670999999999976e+28
4.125000000000000210e-08	1.008413999999999938e+28
4.249999999999999675e-08	9.933433000000000148e+27
4.374999999999999802e-08	9.784484000000000025e+27
4.499999999999999929e-08	9.637198999999999734e+27
4.625000000000000055e-08	9.491487999999999896e+27
4.750000000000000182e-08	9.347262000000000278e+27
4.875000000000000309e-08	9.204436999999999702e+27
4.999999999999999774e-08	9.062935999999999832e+27
