lambda n k
3.750000000000000095e-07 1.728344000000000102e+00 1.710780000000000078e-01
3.760000000000000317e-07 1.723247999999999891e+00 1.686729999999999896e-01
3.770000000000000009e-07 1.718229000000000006e+00 1.663590000000000069e-01
3.780000000000000231e-07 1.713278999999999996e+00 1.641299999999999981e-01
3.790000000000000453e-07 1.708393999999999968e+00 1.619829999999999881e-01
3.800000000000000146e-07 1.703567999999999971e+00 1.599140000000000006e-01
3.810000000000000368e-07 1.698793999999999915e+00 1.579200000000000048e-01
3.820000000000000060e-07 1.694067999999999907e+00 1.560010000000000008e-01
3.830000000000000282e-07 1.689383999999999997e+00 1.541540000000000132e-01
3.840000000000000504e-07 1.684738000000000069e+00 1.523780000000000134e-01
3.850000000000000196e-07 1.680126000000000008e+00 1.506740000000000024e-01
3.860000000000000418e-07 1.675543000000000005e+00 1.490400000000000058e-01
3.870000000000000111e-07 1.670986000000000082e+00 1.474789999999999990e-01
3.880000000000000333e-07 1.666452000000000044e+00 1.459910000000000097e-01
3.890000000000000025e-07 1.661936999999999998e+00 1.445770000000000111e-01
3.900000000000000247e-07 1.657440000000000024e+00 1.432380000000000042e-01
3.910000000000000469e-07 1.652957999999999927e+00 1.419779999999999931e-01
3.920000000000000161e-07 1.648490000000000011e+00 1.407970000000000055e-01
3.930000000000000383e-07 1.644036000000000053e+00 1.396989999999999899e-01
3.940000000000000076e-07 1.639593999999999996e+00 1.386850000000000027e-01
3.950000000000000298e-07 1.635164000000000062e+00 1.377599999999999936e-01
3.959999999999999990e-07 1.630748000000000086e+00 1.369239999999999902e-01
3.970000000000000212e-07 1.626346000000000069e+00 1.361809999999999965e-01
3.980000000000000434e-07 1.621960000000000068e+00 1.355339999999999878e-01
3.990000000000000126e-07 1.617591999999999919e+00 1.349849999999999939e-01
4.000000000000000348e-07 1.613242999999999983e+00 1.345369999999999899e-01
4.010000000000000041e-07 1.608918000000000070e+00 1.341910000000000047e-01
4.020000000000000263e-07 1.604619999999999935e+00 1.339509999999999867e-01
4.030000000000000485e-07 1.600351999999999997e+00 1.338179999999999925e-01
4.040000000000000177e-07 1.596119000000000065e+00 1.337929999999999953e-01
4.050000000000000399e-07 1.591925999999999952e+00 1.338769999999999960e-01
4.060000000000000092e-07 1.587776999999999994e+00 1.340719999999999967e-01
4.070000000000000313e-07 1.583677999999999919e+00 1.343769999999999964e-01
4.080000000000000006e-07 1.579634999999999900e+00 1.347919999999999952e-01
4.090000000000000228e-07 1.575652999999999970e+00 1.353169999999999928e-01
4.100000000000000450e-07 1.571738999999999997e+00 1.359499999999999875e-01
4.110000000000000142e-07 1.567898000000000014e+00 1.366890000000000049e-01
4.120000000000000364e-07 1.564135999999999971e+00 1.375309999999999866e-01
4.130000000000000057e-07 1.560459000000000040e+00 1.384740000000000137e-01
4.140000000000000279e-07 1.556875000000000009e+00 1.395139999999999991e-01
4.150000000000000500e-07 1.553387000000000073e+00 1.406449999999999922e-01
4.160000000000000193e-07 1.550002000000000102e+00 1.418639999999999901e-01
